ÌØÕ÷	IVÖµ
bureau_merged_CREDIT_TYPE_Interbank credit	1.25E-11
bureau_merged_CREDIT_TYPE_Mobile operator loan	1.25E-11
AMT_REQ_CREDIT_BUREAU_QRT	1.25E-11
FLAG_MOBIL	1.25E-11
pre_app_merged_cash_SK_DPD_DEF_min_max	1.25E-11
bureau_merged_DAYS_ENDDATE_FACT_min	1.25E-11
pre_app_merged_NAME_GOODS_CATEGORY_Animals	1.25E-11
bureau_merged_DAYS_CREDIT_UPDATE_max	1.25E-11
pre_app_merged_cash_NAME_CONTRACT_STATUS_XNA_max	5.01E-11
bureau_merged_AMT_CREDIT_SUM_OVERDUE_min	5.01E-11
pre_app_merged_cash_SK_DPD_min_max	5.01E-11
pre_app_merged_SELLERPLACE_AREA_min	5.01E-11
FLAG_DOCUMENT_12	5.01E-11
OBS_30_CNT_SOCIAL_CIRCLE	5.01E-11
bureau_merged_CREDIT_TYPE_Loan for purchase of shares (margin lending)	2.00E-10
pre_app_merged_cash_NAME_CONTRACT_STATUS_Canceled_min	2.00E-10
pre_app_merged_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal	2.41E-10
bureau_merged_CREDIT_TYPE_Loan for the purchase of equipment	2.41E-10
pre_app_merged_SELLERPLACE_AREA_max	3.13E-10
pre_app_merged_installments_NUM_INSTALMENT_VERSION_min_mean	3.63E-10
pre_app_merged_cash_NAME_CONTRACT_STATUS_Canceled_max	6.13E-10
FLAG_DOCUMENT_10	6.13E-10
bureau_merged_CREDIT_CURRENCY_currency 4	1.01E-09
AMT_INCOME_TOTAL	1.10E-09
pre_app_merged_cash_NAME_CONTRACT_STATUS_Amortized debt_std	1.62E-09
bureau_merged_CREDIT_TYPE_Real estate loan	2.11E-09
pre_app_merged_cash_NAME_CONTRACT_STATUS_Amortized debt_min	6.49E-09
FLAG_DOCUMENT_4	7.82E-09
pre_app_merged_cash_NAME_CONTRACT_STATUS_Amortized debt_max	1.46E-08
bureau_merged_AMT_CREDIT_SUM_max	2.10E-08
pre_app_merged_NAME_GOODS_CATEGORY_Weapon	9.68E-08
FLAG_DOCUMENT_20	6.16E-07
FLAG_DOCUMENT_5	1.35E-06
FLAG_CONT_MOBILE	1.87E-06
bureau_merged_CREDIT_CURRENCY_currency 3	2.00E-06
pre_app_merged_NFLAG_LAST_APPL_IN_DAY_max	4.84E-06
